airy,dark,dramatic,golden_hour,minimalist,monochrome,neon,vintage
1.0000,0.4883,0.5711,0.4236,0.5808,0.5851,0.2916,0.6161
0.4883,1.0000,0.7329,0.3908,0.5484,0.6562,0.3764,0.6015
0.5711,0.7329,1.0000,0.5593,0.5218,0.6909,0.3179,0.6425
0.4236,0.3908,0.5593,1.0000,0.3098,0.3894,0.2179,0.4360
0.5808,0.5484,0.5218,0.3098,1.0000,0.6521,0.2185,0.5968
0.5851,0.6562,0.6909,0.3894,0.6521,1.0000,0.2851,0.7068
0.2916,0.3764,0.3179,0.2179,0.2185,0.2851,1.0000,0.3405
0.6161,0.6015,0.6425,0.4360,0.5968,0.7068,0.3405,1.0000
