class,count,brightness_mean,contrast_mean,saturation_mean,warmth_mean,sharpness_mean,brightness_std,contrast_std,saturation_std,warmth_std,sharpness_std,brightness_median,contrast_median,saturation_median,warmth_median,sharpness_median
airy,557,0.6121617021035785,0.3501173766761269,0.2301626961315553,0.5100575752382432,0.1758769441333715,0.1978586159515231,0.1560562027189474,0.17320999052401753,0.06197096986232385,0.13054517754738115,0.6370165944099426,0.34149369597435,0.19569070637226105,0.5117773413658142,0.14443460386246443
dark,580,0.15677710356640404,0.29270117607224605,0.23675112562655787,0.5118243749799399,0.14414057994486185,0.14042968123445057,0.15244818853662873,0.26146422078431253,0.036550291882162196,0.12681792139809483,0.11287704482674599,0.2642149329185486,0.15193041414022446,0.5001120567321777,0.10412554955109954
dramatic,571,0.30743937381916725,0.3963357381613994,0.24146378244635727,0.5096689668302987,0.18119663056377616,0.1714107690329292,0.14466594210335523,0.22629919865576525,0.05294775388714665,0.12344697453077848,0.29935625195503235,0.3893733024597168,0.22205980122089386,0.5,0.15353098511695862
golden_hour,587,0.3689364210101165,0.4622919662669936,0.5237426887975539,0.608703553473523,0.18999949965393567,0.1388018661916366,0.13303559792486874,0.20961600678470813,0.08084823616380658,0.13945590433459376,0.37161386013031006,0.4570498764514923,0.5091257095336914,0.5988796353340149,0.1566955167800188
minimalist,500,0.5580246575661003,0.4032232669442892,0.2007577776443968,0.495898468375206,0.17032625936274418,0.2044190077264483,0.17248729733029572,0.23508364252164923,0.07669981299703507,0.1622070889512202,0.5801421403884888,0.3977998197078705,0.10227693244814873,0.5,0.11924550402909517
monochrome,491,0.41541354329934127,0.4746486646580356,0.016707168409832777,0.50043114528151,0.2835478495937808,0.20139994559773317,0.15753951100138533,0.07843841831905396,0.006304178625412797,0.20027487390472426,0.4171018898487091,0.4622268080711365,0.0,0.5,0.23218052461743355
neon,600,0.20804120175462837,0.3458898498987158,0.5945997058413923,0.4982730076213678,0.2564592988715352,0.12196123290258769,0.12266196432178168,0.20115121965909316,0.07304639485966974,0.15244678548909246,0.1846834048628807,0.34427306056022644,0.5978733003139496,0.5002678632736206,0.22138723637908697
vintage,563,0.4745447938636501,0.4631279903674104,0.22850208383115356,0.5219614551291796,0.2705498726976056,0.17426015602851733,0.13745301449326328,0.21055074490078354,0.05015406666010469,0.13429068733327715,0.4911300539970398,0.4642353355884552,0.2053169310092926,0.5031882524490356,0.24292860180139542
